station_name,name,lat,lon,capacity
4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169,39
4614.04,Atlantic Ave & Furman St,40.69165183,-73.9999786,37
4903.08,Old Fulton St,40.70277159,-73.99383605,39
4953.04,South St & Gouverneur Ln,40.70355377,-74.00670227,43
5181.04,Cherry St,40.71219906,-73.97948148,36
5297.02,Vesey Pl & River Terrace,40.7153379,-74.01658354,57
5458.02,N 5 St & Northside Piers,40.719876,-73.963865,45
5769.06,Ave C & E 16 St,40.7298483,-73.97455215,32
5794.05,India St Pier,40.73173479,-73.96123901,54
6104.01,55 Ave & Center Blvd,40.740288,-73.960697,27
6230.04,FDR Drive & E 35 St,40.744219,-73.97121214,123
6254.06,Center Blvd & 48 Ave,40.745038,-73.957539,27
6599.01,Roosevelt Island Tramway,40.757284,-73.9536,39
6765.01,12 Ave & W 40 St,40.76087502,-74.00277668,76
7003.06,Vernon Blvd & 31 Ave,40.7692475,-73.9354504,23
